match_date,equity
,100.0
2025-09-24,118.8533
2025-10-13,137.9129
2025-10-20,387.4059
2025-10-27,1112.77475
2025-11-03,1098.37475
2026-01-04,1071.15475
2026-01-05,1063.17475
2026-01-06,1087.9545
2026-01-07,953.3245000000001
2026-01-08,989.4195000000001
2026-01-09,846.1195000000001
2026-01-10,880.2205000000001
2026-01-11,876.5805000000001
2026-01-12,926.7261000000001
2026-01-13,978.2437000000001
2026-01-14,1016.0002000000002
2026-01-15,924.1402000000003
2026-01-16,955.0272000000002
2026-01-17,969.8834000000002
2026-03-03,550.4434000000002
2026-03-04,689.6370000000002
2026-03-05,559.4584000000002
2026-03-06,693.8184000000002
2026-03-07,512.0490000000002
2026-03-08,537.0670000000002
2026-03-09,436.7840000000002
2026-03-10,424.3540000000002
2026-03-11,404.6240000000002
2026-03-12,321.22400000000016
2026-03-13,344.8797000000001
