match_date,equity
,100.0
2025-09-24,98.31
2025-10-13,93.23
2025-10-20,86.23500000000006
2025-10-27,79.86000000000001
2025-11-03,79.82000000000001
2026-01-04,80.4
2026-01-05,80.90000000000002
2026-01-06,76.30500000000002
2026-01-07,74.02500000000002
2026-01-08,74.72500000000002
2026-01-09,76.98000000000003
2026-01-10,78.32000000000004
2026-01-11,79.33000000000004
2026-01-12,78.15000000000006
2026-01-13,81.33000000000006
2026-01-14,78.43000000000005
2026-01-15,80.40000000000006
2026-01-16,78.15000000000006
2026-01-17,77.15000000000006
2026-03-03,77.03000000000007
2026-03-04,75.12000000000008
2026-03-05,77.0600000000001
2026-03-06,75.2900000000001
2026-03-07,75.69000000000013
2026-03-08,74.61000000000013
2026-03-09,73.51000000000012
2026-03-10,73.67000000000012
2026-03-11,74.22000000000013
2026-03-12,73.87000000000013
2026-03-13,74.41000000000014
