fold,train_rows,test_rows,train_date_min,train_date_max,test_date_min,test_date_max,catboost_log_loss,catboost_brier,catboost_accuracy,xgboost_log_loss,xgboost_brier,xgboost_accuracy,lgbm_log_loss,lgbm_brier,lgbm_accuracy,rf_log_loss,rf_brier,rf_accuracy,elasticnet_log_loss,elasticnet_brier,elasticnet_accuracy,logreg_log_loss,logreg_brier,logreg_accuracy,cat85_xgb15_log_loss,cat85_xgb15_brier,cat85_xgb15_accuracy,cat60_xgb40_log_loss,cat60_xgb40_brier,cat60_xgb40_accuracy,cat70_lgbm30_log_loss,cat70_lgbm30_brier,cat70_lgbm30_accuracy,top2_equal_log_loss,top2_equal_brier,top2_equal_accuracy,top3_equal_log_loss,top3_equal_brier,top3_equal_accuracy
1,109732,27433,1967-12-28,1997-08-11,1997-08-11,2006-03-06,0.4933770885345021,0.16840560157748505,0.7361936354026173,0.49128186642607,0.16772322356700897,0.7358655633725805,0.49207618536826075,0.16796479986512025,0.7376152808661102,0.5343440185606122,0.17955237350631728,0.7281376444428244,0.577799099436963,0.19827295060360076,0.6891699777640069,0.5777386183290701,0.19825298581223222,0.6896438595851712,0.4922060365604879,0.1679525999214979,0.7364852549848723,0.4909563278924184,0.16747261235783636,0.7369591368060365,0.49172120826765137,0.16775301331373504,0.7368497794626909,0.49047817829064466,0.1673370720002714,0.7383807822695294,0.4903273433584349,0.16722501267469597,0.737104946597164
2,109732,27433,1975-05-10,2006-03-06,2006-03-06,2015-06-29,0.45573322165267727,0.15347165709007318,0.7643349250902198,0.45386560038465146,0.15286926925182343,0.7650275215980753,0.4543942698597907,0.15270799323962922,0.7645171873291291,0.4929888041861985,0.16306781202993645,0.7585389858929027,0.5413143710594868,0.18331074884243137,0.7177486968249918,0.5413557419726334,0.1833296546589226,0.718259031093938,0.4546299426094901,0.15304079224131903,0.7644442824335654,0.4534458474728136,0.15258974888336221,0.7649546167025115,0.4542379057000158,0.15277961188819594,0.7644807348813473,0.4530601283571687,0.15234176295827534,0.7660846425837495,0.4529051621976519,0.15227601537385096,0.7663762621660044
3,109732,27433,1982-06-11,2015-06-29,2015-06-29,2025-09-19,0.593082879364865,0.20515042667800162,0.6715634454853644,0.5949718736437049,0.20580793917179108,0.6693398461706703,0.5918892651224298,0.20480305731365409,0.6710531112164182,0.597930293519609,0.20645636892759686,0.671927969963183,0.6134397171354345,0.21306768786654576,0.6567272992381439,0.613499946502034,0.21307672637711397,0.6562898698647615,0.5922303904291489,0.2048346332441084,0.6714905405898006,0.5916615877267166,0.20463334675282727,0.6717821601720555,0.5914444665352965,0.20453027893144515,0.6716363503809281,0.5917428893766608,0.20473561993262243,0.671126016111982,0.5909144755213122,0.20436639534532222,0.6730215433966391
