trained_at,tour,split_mode,rows_train,rows_test,catboost_accuracy,catboost_log_loss,xgboost_accuracy,xgboost_log_loss,ensemble_accuracy,ensemble_log_loss,ensemble_ece,train_cutoff,lgbm_accuracy,lgbm_log_loss,rf_accuracy,rf_log_loss,elasticnet_accuracy,elasticnet_log_loss,logreg_accuracy,logreg_log_loss,ensemble_winner,temporal_cv_folds,temporal_cv_winner_accuracy_mean,temporal_cv_winner_log_loss_mean,temporal_cv_winner_brier_mean,interval_confidence_level,interval_empirical_coverage,interval_mean_width
2026-03-14T16:02:37Z,atp,fallback_80_20_temporal,151733,37934,0.682975694627511,0.5786977380615532,0.6855591290135499,0.576664181198902,0.6849000896293562,0.5769182598239821,0.004495443580105,,,,,,,,,,,,,,,,,
2026-03-14T16:05:11Z,wta,fallback_80_20_temporal,123183,30796,0.6743408234835693,0.5924920903168012,0.6729120665021431,0.5900798504852146,0.6754773347187947,0.5899874274344826,0.0105298098963653,,,,,,,,,,,,,,,,,
2026-03-14T16:07:54Z,atp,fallback_80_20_temporal,151733,37934,0.6843992196973692,0.5786528081055625,0.683792903463911,0.5775298885271704,0.6843992196973692,0.5770852577217328,0.0054864681206807,,,,,,,,,,,,,,,,,
2026-03-14T16:08:33Z,wta,fallback_80_20_temporal,123183,30796,0.6738537472399013,0.5923597769738728,0.6736264449928562,0.5908676806278138,0.6754773347187947,0.5900447353247492,0.0130436277245978,,,,,,,,,,,,,,,,,
2026-03-14T16:47:37Z,atp,strict_cutoff,189667,123,1.0,0.0263717240498987,1.0,0.1392694519077281,1.0,0.0671259170384377,0.0622920833628739,2025-07-01,,,,,,,,,,,,,,,,
2026-03-14T16:48:31Z,wta,strict_cutoff,153979,121,1.0,0.0206856119529154,1.0,0.0108176578989259,1.0,0.0166986016760069,0.0164121876950082,2025-07-01,,,,,,,,,,,,,,,,
2026-03-14T18:42:20Z,atp,strict_cutoff,189667,123,0.5447154471544715,0.7514312021888723,0.5447154471544715,0.7345440291428664,0.5528455284552846,0.7428584143703492,0.1574547132033557,2025-01-01,,,,,,,,,,,,,,,,
2026-03-14T18:44:32Z,wta,strict_cutoff,153979,123,0.6422764227642277,0.7182771822296737,0.6341463414634146,0.7059100412083501,0.6341463414634146,0.7117297349045936,0.1409410415622466,2025-01-01,,,,,,,,,,,,,,,,
2026-03-14T19:24:16Z,atp,strict_cutoff,189667,123,0.5447154471544715,0.7440951028342685,0.5609756097560976,0.7338978158820803,0.5609756097560976,0.738943033749796,0.1546524827988718,2025-01-01,,,,,,,,,,,,,,,,
2026-03-14T20:34:34Z,wta,strict_cutoff,153979,123,0.6341463414634146,0.7227226964763759,0.6341463414634146,0.7160330078385218,0.6260162601626016,0.7190436916666498,0.1685557444633938,2025-01-01,,,,,,,,,,,,,,,,
