model,feature,importance
xgboost,round_SF,0.004482430871576071
xgboost,round_R16,0.004354070406407118
xgboost,p2_win_pct_5,0.004090085159987211
xgboost,surface_Carpet,0.004068450536578894
xgboost,round_F,0.0038715838454663754
xgboost,tournament_level_other,0.0
xgboost,surface_NA,0.0
xgboost,round_ER,0.0
xgboost,tournament_level_NA,0.0
xgboost,round_BR,0.0
xgboost,round_NA,0.0
xgboost,best_of_1,0.0
xgboost,best_of_NA,0.0
