tour,strategy,status,message,prediction_source,evaluation_mode,prediction_file,backtest_start_date,backtest_end_date,model_train_cutoff,caveat,caveat_detail
atp,n/a,in_sample_guard,"Refusing in-sample backtest for ATP: requested window starts 1967-12-28, but the saved model report cutoff is 2025-09-20. Use --walk-forward or choose a later window.",current_model_regenerated_features,current_model,C:\Users\lakov\OneDrive\Документы\PROJECTS\bet\models\backtest_predictions_atp_min_to_max.csv,,,2025-09-20,closing_line_odds,"Historical Flashscore odds are closing lines from completed match pages, not bettable opening lines."
wta,n/a,in_sample_guard,"Refusing in-sample backtest for WTA: requested window starts 1967-12-25, but the saved model report cutoff is 2025-09-20. Use --walk-forward or choose a later window.",current_model_regenerated_features,current_model,C:\Users\lakov\OneDrive\Документы\PROJECTS\bet\models\backtest_predictions_wta_min_to_max.csv,,,2025-09-20,closing_line_odds,"Historical Flashscore odds are closing lines from completed match pages, not bettable opening lines."
