fold,train_rows,test_rows,train_date_min,train_date_max,test_date_min,test_date_max,catboost_log_loss,catboost_brier,catboost_accuracy,xgboost_log_loss,xgboost_brier,xgboost_accuracy,lgbm_log_loss,lgbm_brier,lgbm_accuracy,rf_log_loss,rf_brier,rf_accuracy,elasticnet_log_loss,elasticnet_brier,elasticnet_accuracy,logreg_log_loss,logreg_brier,logreg_accuracy,cat85_xgb15_log_loss,cat85_xgb15_brier,cat85_xgb15_accuracy,cat60_xgb40_log_loss,cat60_xgb40_brier,cat60_xgb40_accuracy,cat70_lgbm30_log_loss,cat70_lgbm30_brier,cat70_lgbm30_accuracy,top2_equal_log_loss,top2_equal_brier,top2_equal_accuracy,top3_equal_log_loss,top3_equal_brier,top3_equal_accuracy
1,88980,22245,1967-12-25,2000-05-15,2000-05-15,2008-04-22,0.45030671370819697,0.15160556966969604,0.7673184985389975,0.44680275050057144,0.15045292675495148,0.7688019779725781,0.44692330683011683,0.15059379833715067,0.7687120701281187,0.47742830915359746,0.15835568802774974,0.7610249494268375,0.5376327596886434,0.181852367082643,0.7214654978646887,0.5376910978555528,0.18185252854321782,0.7216902674758373,0.4491906161520274,0.15121543064341578,0.7681276691391324,0.4478322841487968,0.1507355857196431,0.7695661946504833,0.4483589198575738,0.15094329820094568,0.7678129916835243,0.44620333445119725,0.15026243315996962,0.7689368397392673,0.4467526366285754,0.1503890018831693,0.7687570240503484
2,88980,22245,1975-09-22,2008-04-22,2008-04-22,2016-07-18,0.49173799464054846,0.1674950682985685,0.7375590020229265,0.4870648565159487,0.16599704325199127,0.739671836367723,0.4880034197016289,0.16665201850344874,0.7385479883119802,0.5181139103567501,0.17383723652366798,0.734187457855698,0.5648023336566855,0.19277498794236012,0.7025398966059788,0.5648027464846466,0.1927640895863263,0.702989435828276,0.49004895597826226,0.16692154449279606,0.7381883569341425,0.4880860879260316,0.1662392560262107,0.7397617442121825,0.48862911038033935,0.16648392390371936,0.7399865138233311,0.4862371062634032,0.16581643281064057,0.7418745785569791,0.4865207808026212,0.16578372645336398,0.7400314677455608
3,88980,22245,1983-11-14,2016-07-18,2016-07-18,2025-09-20,0.5879513234318449,0.20288723929137628,0.678579456057541,0.5881094764967204,0.2030976116657257,0.6785345021353113,0.5881191857294407,0.20312345362649434,0.6770959766239605,0.5998331544970809,0.2069642959793176,0.6740840638345695,0.6187880070133752,0.21461965344903255,0.6585300067430884,0.6187961622523638,0.21462286763177735,0.6583052371319398,0.5872070585691489,0.2026159193785987,0.6794335805799055,0.5865946265114329,0.20240126866917493,0.6793886266576759,0.5867866165046435,0.20248617683658993,0.6793436727354462,0.5872972689078361,0.20277735376240882,0.6783546864463924,0.586400153387313,0.20237438141330255,0.6796583501910541
